iter	Passed	Remaining
994	6494	6559
995	6498	6551
996	6503	6542
997	6509	6535
998	6513	6526
999	6519	6519
1000	6525	6512
1001	6530	6504
1002	6534	6495
1003	6542	6490
1004	6547	6482
1005	6552	6474
1006	6559	6468
1007	6564	6460
1008	6569	6451
1009	6574	6444
1010	6580	6437
1011	6588	6432
1012	6594	6425
1013	6600	6418
1014	6606	6411
1015	6611	6403
1016	6616	6395
1017	6623	6389
1018	6628	6380
1019	6632	6372
1020	6638	6365
1021	6643	6357
1022	6648	6349
1023	6658	6346
1024	6664	6339
1025	6671	6333
1026	6676	6325
1027	6681	6317
1028	6686	6309
1029	6692	6302
1030	6697	6295
1031	6706	6290
1032	6712	6283
1033	6719	6277
1034	6724	6269
1035	6728	6261
1036	6734	6254
1037	6739	6246
1038	6744	6238
1039	6751	6232
1040	6757	6224
1041	6761	6216
1042	6767	6209
1043	6773	6202
1044	6777	6194
1045	6784	6188
1046	6789	6180
1047	6794	6171
1048	6799	6164
1049	6804	6156
1050	6809	6148
1051	6813	6140
1052	6819	6132
1053	6823	6124
1054	6828	6116
1055	6836	6111
1056	6841	6103
1057	6846	6095
1058	6851	6088
1059	6856	6080
1060	6860	6071
1061	6866	6065
1062	6871	6057
1063	6876	6048
1064	6882	6042
1065	6887	6034
1066	6892	6026
1067	6902	6023
1068	6907	6015
1069	6913	6008
1070	6918	6001
1071	6924	5994
1072	6929	5986
1073	6934	5979
1074	6939	5971
1075	6946	5964
1076	6951	5957
1077	6956	5949
1078	6962	5943
1079	6968	5935
1080	6972	5927
1081	6977	5919
1082	6982	5911
1083	6986	5903
1084	6991	5895
1085	6997	5889
1086	7001	5881
1087	7006	5873
1088	7012	5866
1089	7017	5858
1090	7022	5850
1091	7030	5845
1092	7034	5837
1093	7039	5829
1094	7044	5822
1095	7049	5814
1096	7053	5806
1097	7059	5798
1098	7063	5791
1099	7068	5782
1100	7074	5776
1101	7080	5769
1102	7084	5761
1103	7090	5754
1104	7095	5746
1105	7099	5738
1106	7105	5731
1107	7109	5723
1108	7114	5716
1109	7119	5708
1110	7125	5701
1111	7129	5693
1112	7134	5685
1113	7142	5680
1114	7147	5673
1115	7151	5665
1116	7157	5657
1117	7161	5650
1118	7166	5642
1119	7172	5635
